name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description
Vegetarian Lettuce Wraps,"2 teaspoons Peanut Or Olive Oil\n1 package (about 12-14 Oz. Size) Firm Tofu\n2 ears Corn (or 1 1/2 Cups Frozen Corn Kernels)\n1/4 teaspoon Chili Powder (more To Taste)\n1/4 cup Soy Sauce\n Romaine Lettuce Hearts\n2 whole Avocados, Sliced\n1 teaspoon Balsamic Vinegar (optional)",http://thepioneerwoman.com/cooking/2012/02/vegetarian-lettuce-wraps/,http://static.thepioneerwoman.com/cooking/files/2012/02/wraps.jpg,PT15M,6,2/22/2012,PT5M,"Today is Ash Wednesday, the beginning of Lent, and I'd like to share this exceedingly meatless treat with you that I've been ..."
Pasta Puttanesca,"8 ounces, weight Bucatini Or Spaghetti\n2 Tablespoons Olive Oil\n1/2 whole Red Onion, Sliced\n1-1/2 cup Grape Tomatoes, Halved\n3/4 cups Chicken Broth Or White Wine\n2 cloves Garlic\n4 whole Anchovy Filets\n1/2 cup (heaping) Assorted Pitted Olives\n12 whole Basil Leaves\n4 ounces, weight Good Parmesan Cheese",http://thepioneerwoman.com/cooking/2012/02/pasta-puttanesca/,http://static.thepioneerwoman.com/cooking/files/2012/02/puttanesca.jpg,PT20M,6,2/23/2012,PT5M,"I love pasta puttanesca. Love it, love it, love it.     So yesterday, I made pasta puttanesca. Made it, made it, made it.    ..."
Chicken with Mustard Cream Sauce,"4 whole Boneless, Skinless Chicken Breasts\n2 Tablespoons Olive Oil\n2 Tablespoons Butter\n3 whole Garlic Cloves, Minced\n1 cup Brandy (or White Wine If Preferred)\n1 Tablespoon (heaping) Dijon Mustard\n1 Tablespoon (heaping) Grainy Mustard\n1/4 cup (to 1/2) Heavy Cream\n1/4 cup (to 1/2) Chicken Broth\n Salt And Pepper, to taste",http://thepioneerwoman.com/cooking/2012/02/chicken-with-mustard-cream-sauce/,http://static.thepioneerwoman.com/cooking/files/2012/02/chickenmustard.jpg,PT20M,8,2/27/2012,PT5M,"This delectable, tangy, strange, creamy, and bold pan sauce is one of my favorites, and I'm getting ready to tell you why. Ar..."
Pork Chops with Pineapple Fried Rice,"1/2 whole Pineapple, Cut Into Spears And Skewered\n2 cups White Or Brown Rice, Cooked\n6 whole Pork Chops\n1 Tablespoon Butter\n1 Tablespoon Peanut Oil Or Canola Oil\n1 whole Large Onion, Sliced\n6 Tablespoons Soy Sauce (more To Taste, Or If More Liquid Is Needed)\n1 Tablespoon Rice Wine Vinegar\n2 Tablespoons Honey\n1 Tablespoon Sriracha, Or Other Hot Sauce\n Salt To Taste\n3 cloves Minced Garlic\n2 whole Eggs\n1 jar (small) Drained Pimentos\n1-1/2 cup Frozen Peas\n2 Tablespoons Soy Sauce (additional)",http://thepioneerwoman.com/cooking/2012/03/pork-chops-with-pineapple-fried-rice/,http://static.thepioneerwoman.com/cooking/files/2012/03/pineapple.jpg,PT30M,6,3/5/2012,PT15M,"I cooked and feasted on this a few days before we left on our ski vacation, and because I've been so busy sharing all the res..."
New York Style Chopped Salad," Greens\n3 cups Mixed Salad Greens\n3 cups Bibb Lettuce\n8 whole Romaine Leaves\n FIXINS\n Grape Tomatoes, Halved\n Kidney Beans, Drained And Rinsed\n Garbanzo Beans, Drained  And Rinsed\n Pitted Mixed Olives\n Sliced  Or Diced Bell Pepper\n Hard Boiled Eggs, Peeled And Sliced\n Avocado, Sliced\n Mushrooms, Sliced\n Cheese, Grated\n Fresh Mozzarella, Cubed\n Cucumbers, Halved Then Sliced\n Asparagus, Blanched And Sliced Into Pieces\n Sunflower Seeds\n Sliced Almonds\n FOR THE DRESSING:\n Dressings Of Your Choice",http://thepioneerwoman.com/cooking/2012/03/new-york-style-chopped-salad/,http://static.thepioneerwoman.com/cooking/files/2012/03/choppedsalad.jpg,PT,12,3/12/2012,PT45M,I made a salad last Friday that was inspired by some scrumptious and enjoyable salad bar experiences I've had during recent t...
Perfect Sunny-Side Up Eggs,3 whole Eggs\n4 Tablespoons Canola Oil (more Or Less As Needed For Size Of Skillet),http://thepioneerwoman.com/cooking/2012/03/perfect-sunny-side-up-eggs/,http://static.thepioneerwoman.com/cooking/files/2012/03/eggs2.jpg,PT5M,3,3/9/2012,PT2M,"On tomorrow's Food Network show, my best friend Hyacinth's boys come over to our house for a sleepover while my girls go to H..."
"Salisbury Steak, Mashed Potatoes, and Peas"," MEAT MIXTURE\n1-1/2 pound Lean Ground Beef\n1/2 cup Seasoned Breadcrumbs\n2 teaspoons Dry Mustard\n1 cube Beef Bouillon, Crumbed (or Powdered Beef Base)\n4 dashes Worcestershire Sauce\n1 Tablespoon Ketchup\n Salt And Pepper\n Gravy\n1 whole Onion, Halved And Thinly Sliced (or Diced If You Prefer)\n2 cups Beef Broth\n4 dashes Worcestershire (additional)\n1 Tablespoon Ketchup (additional)\n1 teaspoon Kitchen Bouquet (optional)\n1 teaspoon Corn Starch Mixed With A Little Beef Broth To Make A Thin Paste\n Salt And Pepper, to taste\n More Broth If Needed For Thinning\n Mashed Potatoes, For Serving\n Buttered Peas, For Serving\n1 Tablespoon Olive Oil, For Frying\n1 Tablespoon Butter, For Frying",http://thepioneerwoman.com/cooking/2012/03/salisbury-steak-mashed-potatoes-and-peas/,http://static.thepioneerwoman.com/cooking/files/2012/03/plate31.jpg,PT20M,6,10/26/2012,PT10M,I felt like making Salisbury Steak week before last. So guess what? I did! You can find out what sparked the craving here.   ...
Seafood Pasta,"2 Tablespoons Olive Oil\n2 Tablespoons Butter\n1 pound Scallops\n1 pound Shrimp\n5 cloves Garlic\n3/4 cups Dry White Wine\n28 ounces, weight Whole Or Diced Tomatoes\n Salt And Pepper, to taste\n1/4 teaspoon Crushed Red Pepper\n1/4 cup Heavy Cream, Warmed\n12 whole Basil Leaves Torn\n Chicken Broth, If Needed For Splashing In A Little Liquid\n12 ounces, weight Pasta (I Used Fusilli Bucati, But Any Kind Will Do!)",http://thepioneerwoman.com/cooking/2012/03/seafood-pasta/,http://static.thepioneerwoman.com/cooking/files/2012/03/seafoodpasta.jpg,PT30M,12,3/16/2012,PT5M,"Since I left the ranch five days ago---first New York, now Baaaahhhhhston---I've been eating seafood as if my life depended o..."
Petite Vanilla Scones," SCONES\n3 cups All-purpose Flour\n2/3 cups Sugar\n5 teaspoons Baking Powder\n1/4 teaspoon Salt\n2 sticks (1/2 Pound) UNSALTED Butter, Chilled\n1 whole Large Egg\n3/4 cups Heavy Cream (more If Needed)\n2 whole Vanilla Beans\n GLAZE\n5 cups Powdered Sugar, Sifted\n1/2 cup Whole Milk, More If Needed For Thinning\n1 whole Vanilla Bean\n Dash Of Salt",http://thepioneerwoman.com/cooking/2012/03/petite-vanilla-scones/,http://static.thepioneerwoman.com/cooking/files/2012/03/scone.jpg,PT20M,12,4/8/2010,PT20M,"On today's episode of the Food Network show, I have a breakfast theme going on. One of the things I decided to make were thes..."
Individual Cherry Almond Crisps," FOR THE CRUMB MIXTURE:\n1 cup All-purpose Flour\n1/2 cup Sugar\n1/2 cup Packed Brown Sugar\n1/2 teaspoon Cinnamon\n1 dash Nutmeg, Double This Amount If Desired\n1/4 teaspoon Salt\n1-1/2 stick Cold (salted) Butter, Cut Into Pieces\n1/2 cup Slivered Almonds\n FOR THE CHERRIES:\n4 bags (12 Oz. Size) Frozen Tart Cherries\n1/2 cup White Sugar\n1/4 cup Cornstarch\n2 teaspoons Almond Extract\n FOR THE WHIPPED CREAM:\n2 cups Heavy Cream\n2 Tablespoons Sugar",http://thepioneerwoman.com/cooking/2012/03/individual-cherry-almond-crisps/,http://static.thepioneerwoman.com/cooking/files/2012/03/cherrycrisp.jpg,PT45M,8,3/29/2012,PT15M,I love fruit crisp of any kind (my mom's peach crisp is my favorite) and I come by it honestly: My dad's favorite dessert is ...
